,name,size,monster_type,alignment,ac,hp,strength,dex,con,intel,wis,cha,senses,languages,cr,str_save,dex_save,con_save,int_save,wis_save,cha_save,speed,swim,fly,climb,burrow,number_legendary_actions,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation
0,Aboleth,Large,Aberration,lawful evil,17,135,21,9,15,18,15,18,"Darkvision 120 Ft., passive Perception 20","Deep Speech, Telepathy 120 Ft.",10.0,0,0,6,8,6,0,10,40,0,0,0,3,12,10,0,0,0,0,0,0,0,0,0
1,Acolyte,Medium,Humanoid (any race),any alignment,10,9,10,10,10,10,14,11,passive Perception 12,Any One Language (Usually Common),0.25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Adult Black Dragon,Huge,Dragon,chaotic evil,19,195,23,14,21,14,13,17,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21","Common, Draconic",14.0,0,7,10,0,6,8,40,40,80,0,0,3,0,11,7,0,0,0,0,0,0,0,0
3,Adult Blue Dragon,Huge,Dragon,lawful evil,19,225,25,10,23,16,15,19,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22","Common, Draconic",16.0,0,5,11,0,7,9,40,0,80,0,30,3,0,12,5,0,0,0,0,0,0,0,0
4,Adult Brass Dragon,Huge,Dragon,chaotic good,18,172,23,10,21,14,13,17,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21","Common, Draconic",13.0,0,5,10,0,6,8,40,0,80,0,40,3,7,11,5,8,0,0,0,0,0,0,0
5,Adult Bronze Dragon,Huge,Dragon,lawful good,19,212,25,10,23,16,15,19,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22","Common, Draconic",15.0,0,5,11,0,7,9,40,40,80,0,0,3,0,12,5,0,7,0,0,0,0,0,0
6,Adult Copper Dragon,Huge,Dragon,chaotic good,18,184,23,12,21,18,15,17,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22","Common, Draconic",14.0,0,6,10,0,7,8,40,0,80,40,0,3,0,12,6,0,0,8,0,0,0,0,0
7,Adult Gold Dragon,Huge,Dragon,lawful good,19,256,27,14,25,16,15,24,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 24","Common, Draconic",17.0,0,8,13,0,8,13,40,40,80,0,0,3,0,14,8,13,8,0,0,0,0,0,0
8,Adult Green Dragon,Huge,Dragon,lawful evil,19,207,23,12,21,18,15,17,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22","Common, Draconic",15.0,0,6,10,0,7,8,40,40,80,0,0,3,0,12,6,8,7,8,0,0,0,0,0
9,Adult Red Dragon,Huge,Dragon,chaotic evil,19,256,27,10,25,16,13,21,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 23","Common, Draconic",17.0,0,6,13,0,7,11,40,0,80,40,0,3,0,13,6,0,0,0,0,0,0,0,0
10,Adult Silver Dragon,Huge,Dragon,lawful good,19,243,27,10,25,16,13,21,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21","Common, Draconic",16.0,0,5,12,0,6,10,40,0,80,0,0,3,8,11,5,0,0,0,8,0,0,0,0
11,Adult White Dragon,Huge,Dragon,chaotic evil,18,200,22,10,22,8,12,12,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21","Common, Draconic",13.0,0,5,11,0,6,6,40,40,80,0,30,3,0,11,5,0,0,0,0,0,0,0,0
12,Air Elemental,Large,Elemental,neutral,15,90,14,20,14,6,10,6,"Darkvision 60 Ft., passive Perception 10",Auran,5.0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ancient Black Dragon,Gargantuan,Dragon,chaotic evil,22,367,27,14,25,16,15,19,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 26","Common, Draconic",21.0,0,9,14,0,9,11,40,40,80,0,0,3,0,16,9,0,0,0,0,0,0,0,0
14,Ancient Blue Dragon,Gargantuan,Dragon,lawful evil,22,481,29,10,27,18,17,21,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27","Common, Draconic",23.0,0,7,15,0,10,12,40,0,80,0,40,3,0,17,7,0,0,0,0,0,0,0,0
15,Ancient Brass Dragon,Gargantuan,Dragon,chaotic good,20,297,27,10,25,16,15,19,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 24","Common, Draconic",20.0,0,6,13,0,8,10,40,0,80,0,40,3,9,14,6,10,0,0,0,0,0,0,0
16,Ancient Bronze Dragon,Gargantuan,Dragon,lawful good,22,444,29,10,27,18,17,21,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27","Common, Draconic",22.0,0,7,15,0,10,12,40,40,80,0,0,3,0,17,7,0,10,0,0,0,0,0,0
17,Ancient Copper Dragon,Gargantuan,Dragon,chaotic good,21,350,27,12,25,20,17,19,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27","Common, Draconic",21.0,0,8,14,0,10,11,40,0,80,40,0,3,0,17,8,0,0,11,0,0,0,0,0
18,Ancient Gold Dragon,Gargantuan,Dragon,lawful good,22,546,30,14,29,18,17,28,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27","Common, Draconic",24.0,0,9,16,0,10,16,40,40,80,0,0,3,0,17,9,16,10,0,0,0,0,0,0
19,Ancient Green Dragon,Gargantuan,Dragon,lawful evil,21,385,27,12,25,20,17,19,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 27","Common, Draconic",22.0,0,8,14,0,10,11,40,40,80,0,0,3,0,17,8,11,10,11,0,0,0,0,0
20,Ancient Red Dragon,Gargantuan,Dragon,chaotic evil,22,546,30,10,29,18,15,23,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 26","Common, Draconic",24.0,0,7,16,0,9,13,40,0,80,40,0,3,0,16,7,0,0,0,0,0,0,0,0
21,Ancient Silver Dragon,Gargantuan,Dragon,lawful good,22,487,30,10,29,18,15,23,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 26","Common, Draconic",23.0,0,7,16,0,9,13,40,0,80,0,0,3,11,16,7,0,0,0,11,0,0,0,0
22,Ancient White Dragon,Gargantuan,Dragon,chaotic evil,20,333,26,10,26,10,13,14,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 23","Common, Draconic",20.0,0,6,14,0,7,8,40,40,80,0,40,3,0,13,6,0,0,0,0,0,0,0,0
23,Androsphinx,Large,Monstrosity,lawful neutral,17,199,22,10,20,16,18,23,"Truesight 120 Ft., passive Perception 20","Common, Sphinx",17.0,0,6,11,9,10,0,40,0,60,0,0,3,0,10,0,0,0,0,9,15,0,0,0
24,Animated Armor,Medium,Construct,unaligned,18,33,14,11,13,1,3,1,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 6",no language,1.0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Ankheg,Large,Monstrosity,unaligned,14,39,17,11,13,1,13,6,standard senses,no language,2.0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
26,Ape,Medium,Beast,unaligned,12,19,16,14,14,6,12,7,passive Perception 13,no language,0.5,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Archmage,Medium,Humanoid (any race),any alignment,12,99,10,14,12,20,15,16,passive Perception 12,Any Six Languages,12.0,0,0,0,9,6,0,30,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0
28,Assassin,Medium,Humanoid (any race),any non-good alignment,15,78,11,16,14,13,11,10,passive Perception 13,Thieves' Cant Plus Any Two Languages,8.0,0,6,0,4,0,0,30,0,0,0,0,0,0,3,9,0,0,3,0,0,6,0,0
29,Awakened Shrub,Small,Plant,unaligned,9,10,3,8,11,10,10,6,passive Perception 10,One Language Known By Its Creator,0.0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Awakened Tree,Huge,Plant,unaligned,13,59,19,6,15,10,10,7,passive Perception 10,One Language Known By Its Creator,2.0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Axe Beak,Large,Beast,unaligned,11,19,14,12,12,2,10,5,standard senses,no language,0.25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Azer,Medium,Elemental,lawful neutral,17,39,17,12,15,12,13,10,passive Perception 11,Ignan,2.0,0,0,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Baboon,Small,Beast,unaligned,12,3,8,14,11,4,12,6,standard senses,no language,0.0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Badger,Tiny,Beast,unaligned,10,3,4,11,12,2,12,5,standard senses,no language,0.0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
35,Balor,Huge,Fiend (demon),chaotic evil,19,262,26,15,22,20,16,22,"Truesight 120 Ft., passive Perception 13","Abyssal, Telepathy 120 Ft.",19.0,14,0,12,0,9,12,40,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Bandit,Medium,Humanoid (any race),any non-lawful alignment,12,11,11,12,12,10,10,10,standard senses,Any One Language (Usually Common),0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Bandit Captain,Medium,Humanoid (any race),any non-lawful alignment,15,65,15,16,14,14,11,14,passive Perception 10,Any Two Languages,2.0,4,5,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0
38,Barbed Devil,Medium,Fiend (devil),lawful evil,15,110,16,17,18,12,14,14,"Darkvision 120 Ft., passive Perception 18","Infernal, Telepathy 120 Ft.",5.0,6,0,7,0,5,5,30,0,0,0,0,0,0,8,0,0,5,5,0,0,0,0,0
39,Basilisk,Medium,Monstrosity,unaligned,15,52,16,8,15,2,8,7,standard senses,no language,3.0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Bat,Tiny,Beast,unaligned,12,1,2,15,8,2,12,4,standard senses,no language,0.0,0,0,0,0,0,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Bearded Devil,Medium,Fiend (devil),lawful evil,13,52,16,15,15,9,11,11,"Darkvision 120 Ft., passive Perception 10","Infernal, Telepathy 120 Ft.",3.0,5,0,4,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Behir,Huge,Monstrosity,neutral evil,17,168,23,16,18,7,14,12,"Darkvision 90 Ft., passive Perception 16",Draconic,11.0,0,0,0,0,0,0,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Berserker,Medium,Humanoid (any race),any chaotic alignment,13,67,16,12,17,9,11,9,standard senses,Any One Language (Usually Common),2.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Black Bear,Medium,Beast,unaligned,11,19,15,10,14,2,12,7,standard senses,no language,0.5,0,0,0,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Black Dragon Wyrmling,Medium,Dragon,chaotic evil,17,33,15,14,13,10,11,13,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,2.0,0,4,3,0,2,3,30,30,60,0,0,0,0,4,4,0,0,0,0,0,0,0,0
46,Black Pudding,Large,Ooze,unaligned,7,85,16,5,16,1,6,1,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 8",no language,4.0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Blink Dog,Medium,Fey,lawful good,13,22,12,17,12,10,13,11,passive Perception 10,"Blink Dog, Understands Sylvan But Can't Speak It",0.25,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Blood Hawk,Small,Beast,unaligned,12,7,6,14,10,3,14,5,passive Perception 14,no language,0.125,0,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Blue Dragon Wyrmling,Medium,Dragon,lawful evil,17,52,17,10,15,12,11,15,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,3.0,0,2,4,0,2,4,30,0,60,0,15,0,0,4,2,0,0,0,0,0,0,0,0
50,Boar,Medium,Beast,unaligned,11,11,13,11,12,2,9,5,standard senses,no language,0.25,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Bone Devil,Large,Fiend (devil),lawful evil,19,142,18,16,18,13,14,16,"Darkvision 120 Ft., passive Perception 12","Infernal, Telepathy 120 Ft.",9.0,0,0,0,5,6,7,40,0,40,0,0,0,0,0,0,0,6,7,0,0,0,0,0
52,Brass Dragon Wyrmling,Medium,Dragon,chaotic good,16,16,15,10,13,10,11,13,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,1.0,0,2,3,0,2,3,30,0,60,0,15,0,0,4,2,0,0,0,0,0,0,0,0
53,Bronze Dragon Wyrmling,Medium,Dragon,lawful good,17,32,17,10,15,12,11,15,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,2.0,0,2,4,0,2,4,30,30,60,0,0,0,0,4,2,0,0,0,0,0,0,0,0
54,Brown Bear,Large,Beast,unaligned,11,34,19,10,16,2,13,7,passive Perception 13,no language,1.0,0,0,0,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Bugbear,Medium,Humanoid (goblinoid),chaotic evil,16,27,15,14,13,8,11,9,"Darkvision 60 Ft., passive Perception 10","Common, Goblin",1.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Bulette,Large,Monstrosity,unaligned,17,94,19,11,21,2,10,5,"Darkvision 60 Ft., Tremorsense 60 Ft., passive Perception 16",no language,5.0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
57,Camel,Large,Beast,unaligned,9,15,16,8,14,2,8,5,standard senses,no language,0.125,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Cat,Tiny,Beast,unaligned,12,2,3,15,10,3,12,7,passive Perception 13,no language,0.0,0,0,0,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Centaur,Large,Monstrosity,neutral good,12,45,18,14,14,9,13,11,passive Perception 13,"Elvish, Sylvan",2.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Chain Devil,Medium,Fiend (devil),lawful evil,16,85,18,15,18,11,12,14,"Darkvision 120 Ft., passive Perception 8","Infernal, Telepathy 120 Ft.",8.0,0,0,7,0,4,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Chimera,Large,Monstrosity,chaotic evil,14,114,19,11,19,3,14,10,"Darkvision 60 Ft., passive Perception 18",Understands Draconic But Can't Speak,6.0,0,0,0,0,0,0,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Chuul,Large,Aberration,chaotic evil,16,93,19,10,16,5,11,5,"Darkvision 60 Ft., passive Perception 14",Understands Deep Speech But Can't Speak,4.0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Clay Golem,Large,Construct,unaligned,14,133,20,9,18,3,8,1,"Darkvision 60 Ft., passive Perception 9",Understands The Languages Of Its Creator But Can't Speak,9.0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Cloaker,Large,Aberration,chaotic neutral,14,78,17,15,12,13,12,14,"Darkvision 60 Ft., passive Perception 11","Deep Speech, Undercommon",8.0,0,0,0,0,0,0,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Cloud Giant,Huge,Giant,neutral good (50%) or neutral evil (50%),14,200,27,10,22,12,16,16,passive Perception 17,"Common, Giant",9.0,0,0,10,0,7,7,40,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0
66,Cockatrice,Small,Monstrosity,unaligned,11,27,6,12,12,2,13,5,standard senses,no language,0.5,0,0,0,0,0,0,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Commoner,Medium,Humanoid (any race),any alignment,10,4,10,10,10,10,10,10,standard senses,Any One Language (Usually Common),0.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Constrictor Snake,Large,Beast,unaligned,12,13,15,14,12,1,10,3,standard senses,no language,0.25,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Copper Dragon Wyrmling,Medium,Dragon,chaotic good,16,22,15,12,13,14,11,13,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,1.0,0,3,3,0,2,3,30,0,60,30,0,0,0,4,3,0,0,0,0,0,0,0,0
70,Couatl,Medium,Celestial,lawful good,19,97,16,20,17,18,20,18,"Truesight 120 Ft., passive Perception 15","All, Telepathy 120 Ft.",4.0,0,0,5,0,7,6,30,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Crab,Tiny,Beast,unaligned,11,2,2,11,10,1,8,2,"Blindsight 30 Ft., passive Perception 9",no language,0.0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Crocodile,Large,Beast,unaligned,12,19,15,10,13,2,10,5,passive Perception 10,no language,0.5,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Cult Fanatic,Medium,Humanoid (any race),any non-good alignment,13,33,11,14,12,10,13,14,passive Perception 11,Any One Language (Usually Common),2.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Cultist,Medium,Humanoid (any race),any non-good alignment,12,9,11,12,10,10,11,10,passive Perception 10,Any One Language (Usually Common),0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Darkmantle,Small,Monstrosity,unaligned,11,22,16,12,13,2,10,5,"Blindsight 60 Ft., passive Perception 10",no language,0.5,0,0,0,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Death Dog,Medium,Monstrosity,neutral evil,12,39,15,14,14,3,13,6,"Darkvision 120 Ft., passive Perception 15",no language,1.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Deep Gnome (Svirfneblin),Small,Humanoid (gnome),neutral good,15,16,15,14,14,12,10,9,"darkvision 120 ft., passive Perception 12","Gnomish, Terran, Undercommon",0.5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Deer,Medium,Beast,unaligned,13,4,11,16,11,2,14,5,standard senses,no language,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Deva,Medium,Celestial,lawful good,17,136,18,18,18,17,20,20,"Darkvision 120 Ft., passive Perception 19","All, Telepathy 120 Ft.",10.0,0,0,0,0,9,9,30,0,90,0,0,0,0,9,0,0,9,0,0,0,0,0,0
80,Dire Wolf,Large,Beast,unaligned,14,37,17,15,15,3,12,7,passive Perception 13,no language,1.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Diseased Giant Rat,Small,Beast,unaligned,12,7,7,15,11,2,10,4,standard senses,no language,0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Djinni,Large,Elemental,chaotic good,17,161,21,15,22,15,16,20,"Darkvision 120 Ft., passive Perception 13",Auran,11.0,0,6,0,0,7,9,30,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Doppelganger,Medium,Monstrosity (shapechanger),unaligned,14,52,11,18,14,11,12,14,"Darkvision 60 Ft., passive Perception 11",Common,3.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Draft Horse,Large,Beast,unaligned,10,19,18,10,12,2,11,7,standard senses,no language,0.25,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Dragon Turtle,Gargantuan,Dragon,neutral,20,341,25,10,20,10,12,12,"Darkvision 120 Ft., passive Perception 11","Aquan, Draconic",17.0,0,6,11,0,7,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Dretch,Small,Fiend (demon),chaotic evil,11,18,11,11,12,5,8,3,"Darkvision 60 Ft., passive Perception 9","Abyssal, Telepathy 60 Ft. (Works Only With Creatures That Understand Abyssal)",0.25,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Drider,Large,Monstrosity,chaotic evil,19,123,16,16,18,13,14,12,"Darkvision 120 Ft., passive Perception 15","Elvish, Undercommon",6.0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Drow,Medium,Humanoid (elf),neutral evil,15,13,10,14,10,11,11,12,"Darkvision 120 Ft., passive Perception 12","Elvish, Undercommon",0.25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Druid,Medium,Humanoid (any race),any alignment,11,27,10,12,13,12,15,11,passive Perception 14,Druidic Plus Any Two Languages,2.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Dryad,Medium,Fey,neutral,11,22,10,12,11,14,15,18,"Darkvision 60 Ft., passive Perception 14","Elvish, Sylvan",1.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Duergar,Medium,Humanoid (dwarf),lawful evil,16,26,14,11,14,11,10,9,"Darkvision 120 Ft., passive Perception 10","Dwarvish, Undercommon",1.0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Dust Mephit,Small,Elemental,neutral evil,12,17,5,14,10,9,11,10,"Darkvision 60 Ft., passive Perception 12","Auran, Terran",0.5,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Eagle,Small,Beast,unaligned,12,3,6,15,10,2,14,7,passive Perception 14,no language,0.0,0,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Earth Elemental,Large,Elemental,neutral,17,126,20,8,20,5,10,5,"Darkvision 60 Ft., Tremorsense 60 Ft., passive Perception 10",Terran,5.0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
95,Efreeti,Large,Elemental,lawful evil,17,200,22,12,24,16,15,16,"Darkvision 120 Ft., passive Perception 12",Ignan,11.0,0,0,0,7,6,7,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Elephant,Huge,Beast,unaligned,12,76,22,9,17,3,11,6,standard senses,no language,4.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Elk,Large,Beast,unaligned,10,13,16,10,12,2,10,6,standard senses,no language,0.25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Erinyes,Medium,Fiend (devil),lawful evil,18,153,18,16,18,14,14,18,"Truesight 120 Ft., passive Perception 12","Infernal, Telepathy 120 Ft.",12.0,0,7,8,0,6,8,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Ettercap,Medium,Monstrosity,neutral evil,13,44,14,15,13,7,12,8,"Darkvision 60 Ft., passive Perception 13",no language,2.0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Ettin,Large,Giant,chaotic evil,12,85,21,8,17,6,10,8,"Darkvision 60 Ft., passive Perception 14","Giant, Orc",4.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Fire Elemental,Large,Elemental,neutral,13,102,10,17,16,6,10,7,"Darkvision 60 Ft., passive Perception 10",Ignan,5.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Fire Giant,Huge,Giant,lawful evil,18,162,25,9,23,10,14,13,passive Perception 16,Giant,9.0,0,3,10,0,0,5,30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0
103,Flesh Golem,Medium,Construct,neutral,9,93,19,9,18,6,10,5,"Darkvision 60 Ft., passive Perception 10",Understands The Languages Of Its Creator But Can't Speak,5.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
