,name,size,monster_type,alignment,ac,hp,strength,dex,con,intel,wis,cha,senses,languages,cr,str_save,dex_save,con_save,int_save,wis_save,cha_save,speed,swim,fly,climb,burrow,number_legendary_actions,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation
104,Flying Snake,Tiny,Beast,unaligned,14,5,4,18,11,2,12,5,standard senses,no language,0.125,0,0,0,0,0,0,30,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Flying Sword,Small,Construct,unaligned,17,17,12,15,11,1,5,1,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 7",no language,0.25,0,4,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Frog,Tiny,Beast,unaligned,11,1,1,13,8,1,8,3,"Darkvision 30 Ft., passive Perception 11",no language,0.0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Frost Giant,Huge,Giant,neutral evil,15,138,23,9,21,9,10,12,passive Perception 13,Giant,8.0,0,0,8,0,3,4,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0
108,Gargoyle,Medium,Elemental,chaotic evil,15,52,15,11,16,6,11,7,"Darkvision 60 Ft., passive Perception 10",Terran,2.0,0,0,0,0,0,0,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Gelatinous Cube,Large,Ooze,unaligned,6,84,14,3,20,1,6,1,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 8",no language,2.0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Ghast,Medium,Undead,chaotic evil,13,36,16,17,10,11,10,8,"Darkvision 60 Ft., passive Perception 10",Common,2.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Ghost,Medium,Undead,any alignment,11,45,7,13,10,10,12,17,"Darkvision 60 Ft., passive Perception 11",Any Languages It Knew In Life,4.0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Ghoul,Medium,Undead,chaotic evil,12,22,13,15,10,7,10,6,"Darkvision 60 Ft., passive Perception 10",Common,1.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Giant Ape,Huge,Beast,unaligned,12,157,23,14,18,7,12,7,passive Perception 14,no language,7.0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Giant Badger,Medium,Beast,unaligned,10,13,13,10,15,2,12,5,standard senses,no language,0.25,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
115,Giant Bat,Large,Beast,unaligned,13,22,15,16,11,2,12,6,standard senses,no language,0.25,0,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Giant Boar,Large,Beast,unaligned,12,42,17,10,16,2,7,5,standard senses,no language,2.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Giant Centipede,Small,Beast,unaligned,13,4,5,14,12,1,7,3,standard senses,no language,0.25,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Giant Constrictor Snake,Huge,Beast,unaligned,12,60,19,14,12,1,10,3,"Blindsight 10 Ft., passive Perception 12",no language,2.0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Giant Crab,Medium,Beast,unaligned,15,13,13,15,11,1,9,3,"Blindsight 30 Ft., passive Perception 9",no language,0.125,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Giant Crocodile,Huge,Beast,unaligned,14,85,21,9,17,2,10,7,passive Perception 10,no language,5.0,0,0,0,0,0,0,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Giant Eagle,Large,Beast,neutral good,13,26,16,17,13,8,14,10,passive Perception 14,"Giant Eagle, Understands Common And Auran But Can't Speak",1.0,0,0,0,0,0,0,10,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Giant Elk,Huge,Beast,unaligned,14,42,19,16,14,7,14,10,passive Perception 14,"Giant Elk, Understands Common, Elvish, And Sylvan But Can't Speak",2.0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Giant Fire Beetle,Small,Beast,unaligned,13,4,8,10,12,1,7,3,standard senses,no language,0.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Giant Frog,Medium,Beast,unaligned,11,18,12,13,11,2,10,3,"Darkvision 30 Ft., passive Perception 12",no language,0.25,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Giant Goat,Large,Beast,unaligned,11,19,17,11,12,3,12,6,standard senses,no language,0.5,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Giant Hyena,Large,Beast,unaligned,12,45,16,14,14,2,12,7,passive Perception 13,no language,1.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Giant Lizard,Large,Beast,unaligned,12,19,15,12,13,2,10,5,standard senses,no language,0.25,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Giant Octopus,Large,Beast,unaligned,11,52,17,13,13,4,10,4,"Darkvision 60 Ft., passive Perception 14",no language,1.0,0,0,0,0,0,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Giant Owl,Large,Beast,neutral,12,19,13,15,12,8,13,10,"Darkvision 120 Ft., passive Perception 15","Giant Owl, Understands Common, Elvish, And Sylvan But Can't Speak",0.25,0,0,0,0,0,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Giant Poisonous Snake,Medium,Beast,unaligned,14,11,10,18,13,2,10,3,"Blindsight 10 Ft., passive Perception 12",no language,0.25,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Giant Rat,Small,Beast,unaligned,12,7,7,15,11,2,10,4,standard senses,no language,0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Giant Scorpion,Large,Beast,unaligned,15,52,15,13,15,1,9,3,standard senses,no language,3.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Giant Sea Horse,Large,Beast,unaligned,13,16,12,15,11,2,12,5,standard senses,no language,0.5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Giant Shark,Huge,Beast,unaligned,13,126,23,11,21,1,10,5,"Blindsight 60 Ft., passive Perception 13",no language,5.0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Giant Spider,Large,Beast,unaligned,14,26,14,16,12,2,11,4,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 10",no language,1.0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Giant Toad,Large,Beast,unaligned,11,39,15,13,13,2,10,3,standard senses,no language,1.0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Giant Vulture,Large,Beast,neutral evil,10,22,15,10,15,6,12,7,passive Perception 13,Understands Common But Can't Speak,1.0,0,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Giant Wasp,Medium,Beast,unaligned,12,13,10,14,10,1,10,3,standard senses,no language,0.5,0,0,0,0,0,0,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Giant Weasel,Medium,Beast,unaligned,13,9,11,16,10,4,12,5,"Darkvision 60 Ft., passive Perception 13",no language,0.125,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Giant Wolf Spider,Medium,Beast,unaligned,13,11,12,16,13,3,12,4,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 13",no language,0.25,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Gibbering Mouther,Medium,Aberration,neutral,9,67,10,8,16,3,10,6,"Darkvision 60 Ft., passive Perception 10",no language,2.0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Glabrezu,Large,Fiend (demon),chaotic evil,17,157,20,15,21,19,17,16,"Truesight 120 Ft., passive Perception 13","Abyssal, Telepathy 120 Ft.",9.0,9,0,9,0,7,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Gladiator,Medium,Humanoid (any race),any alignment,16,112,18,15,16,10,12,15,passive Perception 11,Any One Language (Usually Common),5.0,7,5,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
144,Gnoll,Medium,Humanoid (gnoll),chaotic evil,15,22,14,12,11,6,10,7,standard senses,Gnoll,0.5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Goat,Medium,Beast,unaligned,10,4,12,10,11,2,10,5,standard senses,no language,0.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Goblin,Small,Humanoid (goblinoid),neutral evil,15,7,8,14,10,10,8,8,"Darkvision 60 Ft., passive Perception 9","Common, Goblin",0.25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Gold Dragon Wyrmling,Medium,Dragon,lawful good,17,60,19,14,17,14,11,16,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,3.0,0,4,5,0,2,5,30,30,60,0,0,0,0,4,4,0,0,0,0,0,0,0,0
148,Gorgon,Large,Monstrosity,unaligned,19,114,20,11,18,2,12,7,"Darkvision 60 Ft., passive Perception 14",no language,5.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Gray Ooze,Medium,Ooze,unaligned,8,22,12,6,16,1,6,2,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 8",no language,0.5,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Green Dragon Wyrmling,Medium,Dragon,lawful evil,17,38,15,12,13,14,11,13,"Blindsight 10 Ft., Darkvision 60 Ft., passive Perception 14",Draconic,2.0,0,3,3,0,2,3,30,30,60,0,0,0,0,4,3,0,0,0,0,0,0,0,0
151,Green Hag,Medium,Fey,neutral evil,17,82,18,12,16,13,14,14,"Darkvision 60 Ft., passive Perception 14","Common, Draconic, Sylvan",3.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Grick,Medium,Monstrosity,neutral,14,27,14,14,11,3,14,5,"Darkvision 60 Ft., passive Perception 12",no language,2.0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Griffon,Large,Monstrosity,unaligned,12,59,18,15,16,2,13,8,"Darkvision 60 Ft., passive Perception 15",no language,2.0,0,0,0,0,0,0,30,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Grimlock,Medium,Humanoid (grimlock),neutral evil,11,11,16,12,12,9,8,6,"Blindsight 30 Ft. Or 10 Ft. While Deafened (Blind Beyond This Radius), passive Perception 13",Undercommon,0.25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Guard,Medium,Humanoid (any race),any alignment,16,11,13,12,12,10,11,10,passive Perception 12,Any One Language (Usually Common),0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Guardian Naga,Large,Monstrosity,lawful good,18,127,19,18,16,16,19,18,"Darkvision 60 Ft., passive Perception 14","Celestial, Common",10.0,0,8,7,7,8,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Gynosphinx,Large,Monstrosity,lawful neutral,17,136,18,15,16,18,18,18,"Truesight 120 Ft., passive Perception 18","Common, Sphinx",11.0,0,0,0,0,0,0,40,0,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0
158,Half-Red Dragon Veteran,Medium,Humanoid (human),any,18,65,16,13,14,10,11,10,"Blindsight 10 ft., Darkvision 60 ft., passive Perception 12","Common, Draconic",5.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Harpy,Medium,Monstrosity,chaotic evil,11,38,12,13,12,7,10,13,standard senses,Common,1.0,0,0,0,0,0,0,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Hawk,Tiny,Beast,unaligned,13,1,5,16,8,2,14,6,passive Perception 14,no language,0.0,0,0,0,0,0,0,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Hell Hound,Medium,Fiend,lawful evil,15,45,17,12,14,6,13,6,"Darkvision 60 Ft., passive Perception 15",Understands Infernal But Can't Speak It,3.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Hezrou,Large,Fiend (demon),chaotic evil,16,136,19,17,20,5,12,13,"Darkvision 120 Ft., passive Perception 11","Abyssal, Telepathy 120 Ft.",8.0,7,0,8,0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Hill Giant,Huge,Giant,chaotic evil,13,105,21,8,19,5,9,6,passive Perception 12,Giant,5.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Hippogriff,Large,Monstrosity,unaligned,11,19,17,13,13,2,12,8,passive Perception 15,no language,1.0,0,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Hobgoblin,Medium,Humanoid (goblinoid),lawful evil,18,11,13,12,12,10,10,9,standard senses,"Common, Goblin",0.5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Homunculus,Tiny,Construct,neutral,13,5,4,15,11,10,10,7,"Darkvision 60 Ft., passive Perception 10",Understands The Languages Of Its Creator But Can't Speak,0.0,0,0,0,0,0,0,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Horned Devil,Large,Fiend (devil),lawful evil,18,178,22,17,21,12,16,17,"Darkvision 120 Ft., passive Perception 13","Infernal, Telepathy 120 Ft.",11.0,10,7,0,0,7,7,20,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Hunter Shark,Large,Beast,unaligned,12,45,18,13,15,1,10,4,"Blindsight 30 Ft., passive Perception 12",no language,2.0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Hydra,Huge,Monstrosity,unaligned,15,172,20,12,20,2,10,7,"Darkvision 60 Ft., passive Perception 16",no language,8.0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Hyena,Medium,Beast,unaligned,11,5,11,13,12,2,12,5,passive Perception 13,no language,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Ice Devil,Large,Fiend (devil),lawful evil,18,180,21,14,18,18,15,18,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 12","Infernal, Telepathy 120 Ft.",14.0,0,7,9,0,7,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Ice Mephit,Small,Elemental,neutral evil,11,21,7,13,10,9,11,12,"Darkvision 60 Ft., passive Perception 12","Aquan, Auran",0.5,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Imp,Tiny,Fiend (devil,shapechanger),13,10,6,17,13,11,12,14,"Darkvision 120 Ft., passive Perception 11","Infernal, Common",1.0,0,0,0,0,0,0,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Incubus,Medium,Fiend (shapechanger),neutral evil,15,66,8,17,13,15,12,20,"Darkvision 60 ft., passive Perception 15","Abyssal, Common, Infernal, Telepathy 60 ft.",4.0,0,0,0,0,0,0,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Invisible Stalker,Medium,Elemental,neutral,14,104,16,19,14,10,15,11,"Darkvision 60 Ft., passive Perception 18","Auran, Understands Common But Doesn't Speak It",6.0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Iron Golem,Large,Construct,unaligned,20,210,24,9,20,3,11,1,"Darkvision 120 Ft., passive Perception 10",Understands The Languages Of Its Creator But Can't Speak,16.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Jackal,Small,Beast,unaligned,12,3,8,15,11,3,12,6,passive Perception 13,no language,0.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Killer Whale,Huge,Beast,unaligned,12,90,19,10,13,3,12,7,"Blindsight 120 Ft., passive Perception 13",no language,3.0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Knight,Medium,Humanoid (any race),any alignment,18,52,16,11,14,11,11,15,passive Perception 10,Any One Language (Usually Common),3.0,0,0,4,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Kobold,Small,Humanoid (kobold),lawful evil,12,5,7,15,9,8,7,8,standard senses,"Common, Draconic",0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Kraken,Gargantuan,Monstrosity (titan),chaotic evil,18,472,30,11,25,22,18,20,"Truesight 120 Ft., passive Perception 14","Understands Abyssal, Celestial, Infernal, And Primordial But Can't Speak, Telepathy 120 Ft.",23.0,17,7,14,13,11,0,20,60,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
182,Lamia,Large,Monstrosity,chaotic evil,13,97,16,13,15,14,15,16,"Darkvision 60 Ft., passive Perception 12","Abyssal, Common",4.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Lemure,Medium,Fiend (devil),lawful evil,7,13,10,5,11,1,11,3,"Darkvision 120 Ft., passive Perception 10",Understands Infernal But Can't Speak,0.0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Lich,Medium,Undead,any evil alignment,17,135,11,16,16,20,14,16,"Truesight 120 Ft., passive Perception 19",Common Plus Up To Five Other Languages,21.0,0,0,10,12,9,0,30,0,0,0,0,4,12,9,0,0,9,0,18,0,0,0,0
185,Lion,Large,Beast,unaligned,12,26,17,15,13,3,12,8,passive Perception 13,no language,1.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Lizard,Tiny,Beast,unaligned,10,2,2,11,10,1,8,3,standard senses,no language,0.0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Lizardfolk,Medium,Humanoid (lizardfolk),neutral,15,22,15,10,13,7,12,7,passive Perception 13,Draconic,0.5,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Mage,Medium,Humanoid (any race),any alignment,12,40,9,14,11,17,12,11,passive Perception 11,Any Four Languages,6.0,0,0,0,6,4,0,30,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0
189,Magma Mephit,Small,Elemental,neutral evil,11,22,8,12,12,7,10,10,"Darkvision 60 Ft., passive Perception 10","Ignan, Terran",0.5,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Magmin,Small,Elemental,chaotic neutral,14,9,7,15,12,8,11,10,"Darkvision 60 Ft., passive Perception 10",Ignan,0.5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Mammoth,Huge,Beast,unaligned,13,126,24,9,21,3,11,6,standard senses,no language,6.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Manticore,Large,Monstrosity,lawful evil,14,68,17,16,17,7,12,8,standard senses,Common,3.0,0,0,0,0,0,0,30,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Marilith,Large,Fiend (demon),chaotic evil,18,189,18,20,20,18,16,20,"Truesight 120 Ft., passive Perception 13","Abyssal, Telepathy 120 Ft.",16.0,9,0,10,0,8,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Mastiff,Medium,Beast,unaligned,12,5,13,14,12,3,12,7,passive Perception 13,no language,0.125,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Medusa,Medium,Monstrosity,lawful evil,15,127,10,15,16,12,13,15,"Darkvision 60 Ft., passive Perception 14",Common,6.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Merfolk,Medium,Humanoid (merfolk),neutral,11,11,10,13,12,11,11,12,passive Perception 12,"Aquan, Common",0.125,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Merrow,Large,Monstrosity,chaotic evil,13,45,18,10,15,8,10,9,standard senses,"Abyssal, Aquan",2.0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Mimic,Medium,Monstrosity (shapechanger),neutral,12,58,17,12,15,5,13,8,"Darkvision 60 Ft., passive Perception 11",no language,2.0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Minotaur,Large,Monstrosity,chaotic evil,14,76,18,11,16,6,16,9,"Darkvision 60 Ft., passive Perception 17",Abyssal,3.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Minotaur Skeleton,Large,Undead,lawful evil,12,67,18,11,15,6,8,5,"Darkvision 60 Ft., passive Perception 9",Understands Abyssal But Can't Speak,2.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Mule,Medium,Beast,unaligned,10,11,14,10,13,2,10,5,standard senses,no language,0.125,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Mummy,Medium,Undead,lawful evil,11,58,16,8,15,6,10,12,"Darkvision 60 Ft., passive Perception 10",The Languages It Knew In Life,3.0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Mummy Lord,Medium,Undead,lawful evil,17,97,18,10,17,11,18,16,"Darkvision 60 Ft., passive Perception 14",The Languages It Knew In Life,15.0,0,0,8,5,9,8,20,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0
204,Nalfeshnee,Large,Fiend (demon),chaotic evil,18,184,21,10,22,19,12,15,"Truesight 120 Ft., passive Perception 11","Abyssal, Telepathy 120 Ft.",13.0,0,0,11,9,6,7,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Night Hag,Medium,Fiend,neutral evil,17,112,18,15,16,16,14,16,"Darkvision 120 Ft., passive Perception 16","Abyssal, Common, Infernal, Primordial",5.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Nightmare,Large,Fiend,neutral evil,13,68,18,15,16,10,13,15,passive Perception 11,"Understands Abyssal, Common, And Infernal But Can't Speak",3.0,0,0,0,0,0,0,60,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Noble,Medium,Humanoid (any race),any alignment,15,9,11,12,11,12,14,16,passive Perception 12,Any Two Languages,0.125,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Ochre Jelly,Large,Ooze,unaligned,8,45,15,6,14,2,6,1,"Blindsight 60 Ft. (Blind Beyond This Radius), passive Perception 8",no language,2.0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Octopus,Small,Beast,unaligned,12,3,4,15,11,3,10,4,"Darkvision 30 Ft., passive Perception 12",no language,0.0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Ogre,Large,Giant,chaotic evil,11,59,19,8,16,5,7,7,standard senses,"Common, Giant",2.0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Ogre Zombie,Large,Undead,neutral evil,8,85,19,6,18,3,6,5,"Darkvision 60 Ft., passive Perception 8",Understands Common And Giant But Can't Speak,2.0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Oni,Large,Giant,lawful evil,16,110,19,11,16,14,12,15,"Darkvision 60 Ft., passive Perception 14","Common, Giant",7.0,0,3,6,0,4,5,30,0,30,0,0,0,0,4,0,0,0,8,5,0,0,0,0
213,Orc,Medium,Humanoid (orc),chaotic evil,13,15,16,12,16,7,11,10,"Darkvision 60 Ft., passive Perception 10","Common, Orc",0.5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Otyugh,Large,Aberration,neutral,14,114,16,11,19,6,13,6,"Darkvision 120 Ft., passive Perception 11",Otyugh,5.0,0,0,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Owl,Tiny,Beast,unaligned,11,1,3,13,8,2,12,7,"Darkvision 120 Ft., passive Perception 13",no language,0.0,0,0,0,0,0,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
